Number of active threads,Average Bulk Upload Step 1- Create Draft,Average Bulk Upload Step 1- Update Data,Average Bulk Upload Step 1- Upload File,Average Confirm delivery,Average Create delivery - step 1,Average Login,Average Update delivery - before confirm,Average View delivery,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Confirm delivery,Create delivery - step 1,Login,Update delivery - before confirm,View delivery
28,,13.916661408542776,13.26542236215233,,,,,,,,,6.392694063926941,12.075379175334351,10.190750240830976,15.785653005425642,17.180490048839822
29,,,,,,,,,,,,6.651373853280539,7.182133196739556,7.366818501411129,19.0029294377717,17.896700861554113
30,,,,,,,,,,,,6.124369245173064,6.2709656310184405,6.986003574943822,11.43728555089592,11.200344625988492
31,,,,,,,,,8.7595365922577,,,8.540622022767732,8.35776188663501,9.819608607276495,15.486342290505906,15.129375444474041
32,,,,,,,,,,14.241210502892747,17.02127659574468,7.739711665186275,8.420574605531879,8.11956263601053,15.37942407757797,14.214012033866716
33,,,,,,,,,,,,6.22876557191393,8.121928377226677,10.31246562448514,12.926343548985509,14.515470612520307
34,,,,,,,,,,,,7.306394992994471,9.330417979685063,43.31447215263041,13.26621659796968,18.245296148947624
35,,,,,,,,,,,,8.353221957040573,5.8626465661641545,6.82753107586817,12.687360668976815,21.460337424893655
36,,,,,,,,,,,,6.849470468371457,7.418548595329224,7.741179958862045,14.039550369341734,12.54756496511981
37,,,,,8.663695236623699,,,,,,,8.192681083516804,8.768322314539187,252.4373500550777,17.30998045218527,15.140221964196195
38,,,,8.006173629810288,,,14.785363791944201,16.305441320692623,8.930669800235018,,,8.148203806083963,9.441337473307726,10.338155445933689,21.921472570053133,16.890930151339457
39,,,,,,,,,,12.824728707661952,,6.638297872340425,8.205688710148218,12.987042615780773,14.548604181406219,13.042865860002314
40,,,,,,,,,,,12.095554883580284,6.878950657456633,9.091922240409893,9.176840273085412,16.780886501219815,19.199844003509586
41,,,,,,,,,,,,7.146417441919261,6.230056222458593,7.120113526977929,13.768869434978733,20.82468457999761
42,,,,,,,,,,,,8.318632496565064,8.425577202517394,10.717811074666978,13.651261859053289,17.809955625306085
43,,,,,,,,,,,,7.074677022625838,8.330295528755983,12.986832553321392,14.820120285558524,14.535372216117915
44,,,,,,,,,,,,7.339625518499339,8.415563032563234,8.946782869697108,17.28215491206253,18.737404049726816
45,,,,,,,,,5.610972568578553,,,8.106707683262698,8.062226211147484,10.121341372548164,17.40514056286234,15.66057412465038
46,,,,,,,,,,,,6.406342637620935,6.231959641724593,113.8365138965145,10.846646536988139,10.934157356786308
47,,,,,,,,,,18.11175337186898,19.8647506339814,7.284130802798483,8.447159514129996,8.608760654263444,16.41450669727285,16.67604784562823
48,,,,,,,,,,,,,6.317451961042379,7.8032212439170445,12.63061281748918,14.580161482135061
49,,,,,,,,,,,,7.318566693634252,8.206924825831281,8.418547124120732,16.37260603030369,15.601939110977955
50,,,,,,,,,,,,8.160401038192797,8.716597263411632,9.437594828641313,18.304160490349453,14.440207356898055
51,,,,,,,,,,,,6.578809230027269,6.6122131466355505,8.459844598372538,13.894077642819804,13.343930600224267
52,,,,,,,,,,,,7.1939055567104235,8.08499015954122,9.89353039891996,17.178992650604904,16.051573951381542
53,,,,,,,,,,,,7.613409642005916,8.155089871989913,9.763672422223378,16.533242677537384,17.086104016885677
54,,,,,,,,,,,,5.906038201139932,6.025218985007356,7.1905211394466875,11.562885600627034,10.340865568747606
55,,,,,,,,,,,,6.144088561265522,7.213602639074401,68.97475866827918,12.516802633663822,13.042803463917055
